NAME,Well name,ST_DESC,classification,HC,PRE_RESERVOIR,PRE_CLOSURE,PRE_SEAL,PRE_CHARGE,PRE_TOTAL POS,POST_RESERVOIR,POST_CLOSURE,POST_SEAL,POST_CHARGE,Drilling Op,Unknown,SUCCESS_OilGas,Well name,,Yes,No
Furaysah,FURAYSAH-1,Arab A Reservoir,PROSPECT,Oil,0.5,0.7,1,0.9,0.315,,,,1,,,,FURAYSAH-1,,,
Niqirah,NIQIRAH-1,Arab A Reservoir,PROSPECT,Oil,0.8,0.8,0.3,0.7,0.1344,,,1,,,,,NIQIRAH-1,,,
Niyashin,NIYASHIN-1,Arab A Reservoir,PROSPECT,Oil,0.9,0.7,0.9,0.9,0.5103,,1,,,,,,NIYASHIN-1,,,
Rumhayn,RUMHAYN-1,Arab A Reservoir,PROSPECT,Oil,0.8,0.9,0.9,0.8,0.5184,,1,,,,,,RUMHAYN-1,,,
Sadawi (4),SADAWI-4,Arab A Reservoir,DELINEATION,Oil,0.9,0.6,0.9,0.7,0.3402,,1,,,,,,SADAWI-4,,,
Umm Huwayd,UMM HUWAYD-1,Arab A Reservoir,PROSPECT,,,,,,,,1,,1,,,,UMM HUWAYD-1,,,
Umm Sudayrah,UMM SUDAYRAH-1,Arab A Reservoir,PROSPECT,Oil,0.9,0.5,0.9,0.9,0.3645,,1,,1,,,,UMM SUDAYRAH-1,,,
Furaysah,FURAYSAH-1,Arab B Reservoir,PROSPECT,Oil,0.5,0.7,1,0.9,0.315,,,,1,,,,FURAYSAH-1,,,
Niqirah,NIQIRAH-1,Arab B Reservoir,PROSPECT,Oil,0.8,0.8,0.3,0.7,0.1344,,,1,,,,,NIQIRAH-1,,,
Niyashin,NIYASHIN-1,Arab B Reservoir,PROSPECT,Oil,0.9,0.7,0.7,0.9,0.3969,,1,1,,,,,NIYASHIN-1,,,
Sadawi (4),SADAWI-4,Arab B Reservoir,DELINEATION,Oil,0.9,0.6,0.8,0.6,0.2592,,1,,,,,,SADAWI-4,,,
Sharar Deep 1 (7),SHARAR-7,Arab B Reservoir,PROSPECT,Oil,0.9,0.5,0.9,0.9,0.3645,,,1,1,,,,SHARAR-7,,,
Umm Huwayd,UMM HUWAYD-1,Arab B Reservoir,PROSPECT,,,,,,,,1,,1,,,,UMM HUWAYD-1,,,
Umm Sudayrah,UMM SUDAYRAH-1,Arab B Reservoir,PROSPECT,Oil,0.8,0.5,0.8,0.5,0.16,,1,,1,,,,UMM SUDAYRAH-1,,,
Niyashin,NIYASHIN-1,Arab C Reservoir,PROSPECT,Oil,0.9,0.7,0.7,0.7,0.3087,,1,1,,,,,NIYASHIN-1,,,
Sharar Deep 1 (7),SHARAR-7,Arab C Reservoir,PROSPECT,Oil,0.9,0.5,0.9,0.9,0.3645,,,1,1,,,,SHARAR-7,,,
Umm Huwayd,UMM HUWAYD-1,Arab C Reservoir,PROSPECT,Oil,0.8,0.5,0.9,0.7,0.252,,1,,1,,,,UMM HUWAYD-1,,,
Umm Sudayrah,UMM SUDAYRAH-1,Arab C Reservoir,PROSPECT,Oil,0.9,0.5,0.8,0.5,0.18,,1,,1,,,,UMM SUDAYRAH-1,,,
Fadhili (18),FADHILI-18,Arab D Reservoir,DELINEATION,Oil,0.9,0.2,0.9,0.8,0.1296,,1,,,,,,FADHILI-18,,,
Niyashin,NIYASHIN-1,Arab D Reservoir,PROSPECT,Oil,0.9,0.7,0.7,0.9,0.3969,,1,1,,,,,NIYASHIN-1,,,
Sharar Deep 1 (7),SHARAR-7,Arab D Reservoir,PROSPECT,Oil,0.9,0.5,0.9,0.9,0.3645,,,1,1,,,,SHARAR-7,,,
Umm Huwayd,UMM HUWAYD-1,Arab D Reservoir,PROSPECT,Oil,0.8,0.5,0.9,0.7,0.252,,1,,1,,,,UMM HUWAYD-1,,,
Abu Seyal,ABU SEYAL-1,Basal Khuff Clastics,PROSPECT,Oil,0.5,0.7,0.4,1,0.14,,,1,,,,,ABU SEYAL-1,,,
Abu Tarfa,ABU TARFA-1,Basal Khuff Clastics,PROSPECT,Oil,0.5,0.8,0.4,0.9,0.144,,,1,,,,,ABU TARFA-1,,,
Dilam (4),DILM-4,Basal Khuff Clastics,DELINEATION,Oil,0.6,0.9,1,1,0.54,1,,1,,,,,DILM-4,,,
Dilham,DILM-3,Basal Khuff Clastics,PROSPECT,,,,,,,,,,,,,1,DILM-3,,,
Mahayer,MAHAYER-1,Basal Khuff Clastics,PROSPECT,Oil,0.6,0.8,0.5,1,0.24,1,,,,,,,MAHAYER-1,,,
Murradaf,MURRADAF-1,Basal Khuff Clastics,PROSPECT,Gas,0.7,0.7,0.7,0.9,0.3087,1,,,,,,,MURRADAF-1,,,
Nujayman (3),NUJAYMAN-3,Basal Khuff Clastics,DELINEATION,,,,,,,,,,,,,1,NUJAYMAN-3,,,
Addahna,ADDAHNA-1,Base Zarqa Sarah Channel Reservoir,PROSPECT,Gas,0.5,0.7,0.4,0.9,0.126,1,,,,,,,ADDAHNA-1,,,
Jauf Deep 1,JAUF-11,Dhruma Reservoir,PROSPECT,,,,,,,,,,,,,1,JAUF-11,,,
Bakr Deep 1 (5),BAKR-5,Faridah A Reservoir,PROSPECT,,,,,,,,,,,,,1,BAKR-5,,,
Bakr Deep 1 (5),BAKR-5,Faridah D Reservoir,PROSPECT,,,,,,,,,,,,,1,BAKR-5,,,
Niyashin,NIYASHIN-1,Faridah Reservoir,PROSPECT,Oil,0.3,0.6,0.9,0.5,0.081,,,,,,,,NIYASHIN-1,,,
Rumhayn,RUMHAYN-1,Faridah Reservoir,PROSPECT,Oil,0.8,0.9,0.8,0.8,0.4608,,1,,,,,,RUMHAYN-1,,,
Sharar Deep 1 (7),SHARAR-7,Faridah Reservoir,PROSPECT,Oil,0.9,0.5,0.4,0.9,0.162,1,,,,,,,SHARAR-7,,,
Niyashin,NIYASHIN-1,Hadriya Reservoir,PROSPECT,Oil,0.5,0.7,0.9,0.2,0.063,,1,1,,,,,NIYASHIN-1,,,
Sharar Deep 1 (7),SHARAR-7,Hadriya Reservoir,PROSPECT,Oil,0.9,0.5,0.4,0.9,0.162,,,,,,1,,SHARAR-7,,,
Bakr Deep 1 (5),BAKR-5,Hanifa Reservoir,PROSPECT,,,,,,,,,,,,,1,BAKR-5,,,
Jurayd (Cretaceous),JURAYD-101,Hith Stringer Reservoir,PROSPECT,,,,,,,,,,,,,1,JURAYD-101,,,
Niyashin,NIYASHIN-1,Hith Stringer Reservoir,PROSPECT,Oil,0.5,0.5,0.9,0.8,0.18,,1,,,,,,NIYASHIN-1,,,
Rimthan (9),RIMTHAN-9,Hith Stringer Reservoir,DELINEATION,Oil,0.8,0.9,0.9,0.8,0.5184,,,,,,,1,RIMTHAN-9,,,
Dilham,DILM-3,Jauf Reservoir,PROSPECT,Gas,0.5,0.1,0.3,0.7,0.0105,,,,,,1,,DILM-3,,,
Jurayd Deep 1,JURAYD-5,Jauf Reservoir,PROSPECT,Gas,0.7,0.7,0.7,0.9,0.3087,,,,,,,,JURAYD-5,,,
Kassab (2),KASSAB-2,Jauf Reservoir,DELINEATION,Gas,0.8,0.7,0.6,0.9,0.3024,,,,,,,1,KASSAB-2,,,
Murradaf,MURRADAF-1,Jauf Reservoir,PROSPECT,Gas,0.5,0.6,0.8,0.9,0.216,,,,,,1,,MURRADAF-1,,,
Rabib,RABIB-1,Jauf Reservoir,PROSPECT,Gas,0.8,0.7,0.8,0.9,0.4032,,,,,,1,,RABIB-1,,,
Uthmaniyah D (2001),UTMN-2001,Jauf Reservoir,DELINEATION,Gas,0.9,0.6,1,0.9,0.486,1,,,,,,,UTMN-2001,,,
Arabiyah,ARABIYAH-1,Jilh Reservoir,PROSPECT,Gas,0.7,0.7,1,0.8,0.392,,,,,,,,ARABIYAH-1,,,
Bakr Deep 1 (5),BAKR-5,Jilh Reservoir,PROSPECT,Gas,0.4,0.8,0.9,0.6,0.1728,,,,,1,,,BAKR-5,,,
Haruri-2 (Re-Entry),HARURI-2,Jilh Reservoir,PROSPECT,Gas,0.5,1,1,1,0.5,1,,,,,,,HARURI-2,,,
Jauf Deep 1,JAUF-11,Jilh Reservoir,PROSPECT,Gas,0.3,0.9,0.9,0.5,0.1215,1,,,,,,,JAUF-11,,,
Jurayd Deep 1,JURAYD-5,Jilh Reservoir,PROSPECT,Gas,0.6,0.8,0.8,0.5,0.192,1,,,1,,,,JURAYD-5,,,
Karan (7),KARAN-7,Jilh Reservoir,DELINEATION,Gas,0.7,0.9,1,0.8,0.504,1,,,,,,,KARAN-7,,,
Rabib,RABIB-1,Jilh Reservoir,PROSPECT,Gas,0.5,0.6,0.8,0.6,0.144,,,,1,,,,RABIB-1,,,
Rumhayn,RUMHAYN-1,Jilh Reservoir,PROSPECT,Gas,0.5,0.8,0.7,0.5,0.14,,1,,,,,,RUMHAYN-1,,,
Umm Sudayrah,UMM SUDAYRAH-1,Jilh Reservoir,PROSPECT,Gas,0.7,0.8,0.7,0.4,0.1568,,,,,,1,,UMM SUDAYRAH-1,,,
Rabib,RABIB-1,Jubah Reservoir,PROSPECT,,,,,,,,,,,,,1,RABIB-1,,,
Jurayd (Cretaceous),JURAYD-101,Khafji Reservoir,PROSPECT,Oil,0.9,1,0.9,0.3,0.243,,,,,,,1,JURAYD-101,,,
Arabiyah,ARABIYAH-1,Khuff A Reservoir,PROSPECT,Gas,0.8,0.7,1,0.8,0.448,1,,,,,,,ARABIYAH-1,,,
Bakr Deep 1 (5),BAKR-5,Khuff A Reservoir,PROSPECT,Gas,0.5,0.8,0.7,0.4,0.112,,,,,1,,,BAKR-5,,,
Fadhili (18),FADHILI-18,Khuff A Reservoir,DELINEATION,Gas,0.3,0.4,1,0.4,0.048,,,,,,,,FADHILI-18,,,
Hasbah (16),HASBAH-16,Khuff A Reservoir,DELINEATION,Gas,0.8,0.8,0.9,0.7,0.4032,1,,,,,,,HASBAH-16,,,
Hasbah Deep 1,HASBAH-15,Khuff A Reservoir,PROSPECT,Gas,0.8,0.8,0.9,0.7,0.4032,1,,,,,,,HASBAH-15,,,
Jauf Deep 1,JAUF-11,Khuff A Reservoir,PROSPECT,Gas,0.5,0.9,0.9,0.4,0.162,1,,,,,,,JAUF-11,,,
Jurayd Deep 1,JURAYD-5,Khuff A Reservoir,PROSPECT,Gas,0.6,0.8,0.8,0.9,0.3456,1,,,,,,,JURAYD-5,,,
Karan (7),KARAN-7,Khuff A Reservoir,DELINEATION,Gas,0.7,0.9,1,0.8,0.504,,,,,,,1,KARAN-7,,,
